2025-10-27T00:19:52.845995489Z [inf]  2025-10-27 00:19:52,836 - src.services.data_service - DEBUG - 緩存命中: PYTHUSDT 5m
2025-10-27T00:19:52.845999519Z [inf]  2025-10-27 00:19:52,836 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.846004199Z [inf]  2025-10-27 00:19:52,836 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.846008679Z [inf]  2025-10-27 00:19:52,836 - src.services.data_service - DEBUG - 緩存命中: 1000RATSUSDT 5m
2025-10-27T00:19:52.846012141Z [inf]  2025-10-27 00:19:52,836 - src.services.data_service - DEBUG - 緩存命中: JTOUSDT 5m
2025-10-27T00:19:52.846017156Z [inf]  2025-10-27 00:19:52,836 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.846020062Z [inf]  2025-10-27 00:19:52,836 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.846024701Z [inf]  2025-10-27 00:19:52,836 - src.services.data_service - DEBUG - 緩存命中: NAORISUSDT 5m
2025-10-27T00:19:52.846028569Z [inf]  2025-10-27 00:19:52,836 - src.services.data_service - DEBUG - 緩存命中: SUSDT 5m
2025-10-27T00:19:52.846034658Z [inf]  2025-10-27 00:19:52,836 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.846040866Z [inf]  2025-10-27 00:19:52,836 - src.services.data_service - DEBUG - 緩存命中: VVVUSDT 5m
2025-10-27T00:19:52.846046875Z [inf]  2025-10-27 00:19:52,836 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.846053112Z [inf]  2025-10-27 00:19:52,836 - src.services.data_service - DEBUG - 緩存命中: BARDUSDT 5m
2025-10-27T00:19:52.846059194Z [inf]  2025-10-27 00:19:52,836 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.846065744Z [inf]  2025-10-27 00:19:52,836 - src.services.data_service - DEBUG - 緩存命中: POLUSDT 5m
2025-10-27T00:19:52.847341374Z [inf]  2025-10-27 00:19:52,836 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.847345481Z [inf]  2025-10-27 00:19:52,837 - src.services.data_service - DEBUG - 緩存命中: THETAUSDT 5m
2025-10-27T00:19:52.847347954Z [inf]  2025-10-27 00:19:52,836 - src.services.data_service - DEBUG - 緩存命中: BSVUSDT 5m
2025-10-27T00:19:52.847353582Z [inf]  2025-10-27 00:19:52,836 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.847355490Z [inf]  2025-10-27 00:19:52,837 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.847359904Z [inf]  2025-10-27 00:19:52,837 - src.services.data_service - DEBUG - 緩存命中: COOKIEUSDT 5m
2025-10-27T00:19:52.847364109Z [inf]  2025-10-27 00:19:52,837 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.847368187Z [inf]  2025-10-27 00:19:52,837 - src.services.data_service - DEBUG - 緩存命中: PUMPBTCUSDT 5m
2025-10-27T00:19:52.847372286Z [inf]  2025-10-27 00:19:52,837 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
