2025-10-27T13:52:31.913500523Z [inf]  2025-10-27 13:52:22,337 - src.services.data_service - DEBUG - ✅ 緩存命中: BASUSDT 5m
2025-10-27T13:52:31.913504639Z [inf]  2025-10-27 13:52:22,337 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913508926Z [inf]  2025-10-27 13:52:22,337 - src.services.data_service - DEBUG - ✅ 緩存命中: BIOUSDT 5m
2025-10-27T13:52:31.913512686Z [inf]  2025-10-27 13:52:22,337 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913517344Z [inf]  2025-10-27 13:52:22,337 - src.services.data_service - DEBUG - ✅ 緩存命中: LIGHTUSDT 5m
2025-10-27T13:52:31.913521161Z [inf]  2025-10-27 13:52:22,337 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913526257Z [inf]  2025-10-27 13:52:22,337 - src.services.data_service - DEBUG - ✅ 緩存命中: SPXUSDT 5m
2025-10-27T13:52:31.913530766Z [inf]  2025-10-27 13:52:22,337 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913569181Z [inf]  2025-10-27 13:52:22,337 - src.services.data_service - DEBUG - ✅ 緩存命中: CLOUSDT 5m
2025-10-27T13:52:31.913574860Z [inf]  2025-10-27 13:52:22,337 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913578951Z [inf]  2025-10-27 13:52:22,337 - src.services.data_service - DEBUG - ✅ 緩存命中: HOLOUSDT 5m
2025-10-27T13:52:31.913583391Z [inf]  2025-10-27 13:52:22,337 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913588239Z [inf]  2025-10-27 13:52:22,337 - src.services.data_service - DEBUG - ✅ 緩存命中: LINEAUSDT 5m
2025-10-27T13:52:31.913597171Z [inf]  2025-10-27 13:52:22,337 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
