2025-10-26T09:47:43.363537673Z [inf]  2025-10-26 09:47:34,462 - src.strategies.ict_strategy - DEBUG - NEARUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.363543192Z [inf]  2025-10-26 09:47:34,514 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: FARTCOINUSDT LONG 信心度 70.00%
2025-10-26T09:47:43.363577224Z [inf]  2025-10-26 09:47:34,413 - src.strategies.ict_strategy - DEBUG - MERLUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.363586842Z [inf]  2025-10-26 09:47:34,414 - src.strategies.ict_strategy - DEBUG - WIFUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.363593081Z [inf]  2025-10-26 09:47:34,415 - src.strategies.ict_strategy - DEBUG - AIAUSDT: 趨勢檢測 - 1h:bearish, 15m:bullish, 5m:bearish
2025-10-26T09:47:43.363601618Z [inf]  2025-10-26 09:47:34,416 - src.strategies.ict_strategy - DEBUG - KDAUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.363607411Z [inf]  2025-10-26 09:47:34,417 - src.strategies.ict_strategy - DEBUG - RECALLUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.363614304Z [inf]  2025-10-26 09:47:34,418 - src.strategies.ict_strategy - DEBUG - ONUSDT: 趨勢檢測 - 1h:bearish, 15m:bullish, 5m:bearish
2025-10-26T09:47:43.363620475Z [inf]  2025-10-26 09:47:34,419 - src.strategies.ict_strategy - DEBUG - AAVEUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.363626406Z [inf]  2025-10-26 09:47:34,439 - src.strategies.ict_strategy - DEBUG - BASUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.363633120Z [inf]  2025-10-26 09:47:34,452 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: WLFIUSDT LONG 信心度 70.00%
2025-10-26T09:47:43.364556584Z [inf]  2025-10-26 09:47:34,537 - src.strategies.ict_strategy - DEBUG - JUPUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.364564713Z [inf]  2025-10-26 09:47:34,516 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: KGENUSDT LONG 信心度 66.00%
2025-10-26T09:47:43.364566185Z [inf]  2025-10-26 09:47:34,546 - src.strategies.ict_strategy - DEBUG - EIGENUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.364568479Z [inf]  2025-10-26 09:47:34,574 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: BIOUSDT LONG 信心度 66.00%
2025-10-26T09:47:43.364573870Z [inf]  2025-10-26 09:47:34,523 - src.strategies.ict_strategy - DEBUG - KAITOUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T09:47:43.364574186Z [inf]  2025-10-26 09:47:34,614 - src.strategies.ict_strategy - DEBUG - TRXUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T09:47:43.364576866Z [inf]  2025-10-26 09:47:34,576 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: WLDUSDT LONG 信心度 70.00%
2025-10-26T09:47:43.364576980Z [inf]  2025-10-26 09:47:34,571 - src.strategies.ict_strategy - DEBUG - AI16ZUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.364581229Z [inf]  2025-10-26 09:47:34,524 - src.strategies.ict_strategy - DEBUG - ZENUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.364587968Z [inf]  2025-10-26 09:47:34,525 - src.strategies.ict_strategy - DEBUG - XANUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bullish
2025-10-26T09:47:43.364588500Z [inf]  2025-10-26 09:47:34,576 - src.strategies.ict_strategy - DEBUG - XLMUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.364593638Z [inf]  2025-10-26 09:47:34,526 - src.strategies.ict_strategy - DEBUG - UNIUSDT: 趨勢檢測 - 1h:bearish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.365463610Z [inf]  2025-10-26 09:47:34,644 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: PENGUUSDT LONG 信心度 70.00%
2025-10-26T09:47:43.365468927Z [inf]  2025-10-26 09:47:34,786 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: RECALLUSDT LONG 信心度 66.00%
2025-10-26T09:47:43.365472235Z [inf]  2025-10-26 09:47:34,657 - src.strategies.ict_strategy - DEBUG - ZKCUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:neutral)
2025-10-26T09:47:43.365478351Z [inf]  2025-10-26 09:47:34,819 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: AAVEUSDT LONG 信心度 70.00%
2025-10-26T09:47:43.365480156Z [inf]  2025-10-26 09:47:34,658 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: LTCUSDT LONG 信心度 70.00%
2025-10-26T09:47:43.365486811Z [inf]  2025-10-26 09:47:34,837 - src.strategies.ict_strategy - DEBUG - RIVERUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bullish, 5m:bearish, structure:neutral)
2025-10-26T09:47:43.365486995Z [inf]  2025-10-26 09:47:34,714 - src.strategies.ict_strategy - DEBUG - AIAUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-26T09:47:43.365493885Z [inf]  2025-10-26 09:47:34,721 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: DEGOUSDT LONG 信心度 60.00%
2025-10-26T09:47:43.365499229Z [inf]  2025-10-26 09:47:34,767 - src.strategies.ict_strategy - DEBUG - MERLUSDT: 拒絕 - 信心度不足 (42.7% < 45.0%)
2025-10-26T09:47:43.365504444Z [inf]  2025-10-26 09:47:34,780 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: KDAUSDT LONG 信心度 52.67%
2025-10-26T09:47:43.365530695Z [inf]  2025-10-26 09:47:34,781 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: WIFUSDT LONG 信心度 70.00%
2025-10-26T09:47:43.365537564Z [inf]  2025-10-26 09:47:34,784 - src.strategies.ict_strategy - DEBUG - ONUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-26T09:47:43.366554334Z [inf]  2025-10-26 09:47:35,021 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
