2025-10-26T06:34:24.457645397Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: CRVUSDT 5m
2025-10-26T06:34:24.457651736Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.457657793Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: ZBTUSDT 5m
2025-10-26T06:34:24.457661960Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.457662315Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.457667862Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: 1000BONKUSDT 5m
2025-10-26T06:34:24.457672825Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: PAXGUSDT 5m
2025-10-26T06:34:24.457673882Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.457678695Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: 1000SHIBUSDT 5m
2025-10-26T06:34:24.457682124Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.457683629Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.457689449Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: ONDOUSDT 5m
2025-10-26T06:34:24.457690679Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: HBARUSDT 5m
2025-10-26T06:34:24.457697427Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.457703875Z [inf]  2025-10-26 06:34:16,065 - src.services.data_service - DEBUG - 緩存命中: OPUSDT 5m
2025-10-26T06:34:24.459449796Z [inf]  2025-10-26 06:34:16,065 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.459457787Z [inf]  2025-10-26 06:34:16,066 - src.services.data_service - DEBUG - 緩存命中: CAKEUSDT 5m
2025-10-26T06:34:24.459463988Z [inf]  2025-10-26 06:34:16,066 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.459471413Z [inf]  2025-10-26 06:34:16,066 - src.services.data_service - DEBUG - 緩存命中: HIPPOUSDT 5m
2025-10-26T06:34:24.459476452Z [inf]  2025-10-26 06:34:16,066 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.459482284Z [inf]  2025-10-26 06:34:16,066 - src.services.data_service - DEBUG - 緩存命中: ZORAUSDT 5m
2025-10-26T06:34:24.459487885Z [inf]  2025-10-26 06:34:16,066 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.459493036Z [inf]  2025-10-26 06:34:16,066 - src.services.data_service - DEBUG - 緩存命中: NOMUSDT 5m
2025-10-26T06:34:24.459498082Z [inf]  2025-10-26 06:34:16,066 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.459503392Z [inf]  2025-10-26 06:34:16,066 - src.services.data_service - DEBUG - 緩存命中: STBLUSDT 5m
2025-10-26T06:34:24.459510260Z [inf]  2025-10-26 06:34:16,066 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.459516102Z [inf]  2025-10-26 06:34:16,066 - src.services.data_service - DEBUG - 緩存命中: MIRAUSDT 5m
2025-10-26T06:34:24.459521246Z [inf]  2025-10-26 06:34:16,066 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.459526755Z [inf]  2025-10-26 06:34:16,066 - src.services.data_service - DEBUG - 緩存命中: KDAUSDT 5m
2025-10-26T06:34:24.459531884Z [inf]  2025-10-26 06:34:16,066 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.460661746Z [inf]  2025-10-26 06:34:16,066 - src.services.data_service - DEBUG - 緩存命中: USELESSUSDT 5m
2025-10-26T06:34:24.460670526Z [inf]  2025-10-26 06:34:16,066 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.460675897Z [inf]  2025-10-26 06:34:16,066 - src.services.data_service - DEBUG - 緩存命中: ZENUSDT 5m
2025-10-26T06:34:24.460681138Z [inf]  2025-10-26 06:34:16,066 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.460686000Z [inf]  2025-10-26 06:34:16,066 - src.services.data_service - DEBUG - 緩存命中: AKTUSDT 5m
2025-10-26T06:34:24.460691842Z [inf]  2025-10-26 06:34:16,066 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.460696167Z [inf]  2025-10-26 06:34:16,066 - src.services.data_service - DEBUG - 緩存命中: PUMPBTCUSDT 5m
2025-10-26T06:34:24.460701318Z [inf]  2025-10-26 06:34:16,066 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.460706331Z [inf]  2025-10-26 06:34:16,066 - src.services.data_service - DEBUG - 緩存命中: ETHFIUSDT 5m
2025-10-26T06:34:24.460712232Z [inf]  2025-10-26 06:34:16,066 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.460717546Z [inf]  2025-10-26 06:34:16,066 - src.services.data_service - DEBUG - 緩存命中: FETUSDT 5m
2025-10-26T06:34:24.460722674Z [inf]  2025-10-26 06:34:16,066 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T06:34:24.460727954Z [inf]  2025-10-26 06:34:16,066 - src.services.data_service - DEBUG - 緩存命中: ETCUSDT 5m
