2025-11-06T10:38:25.188531073Z [inf]  2025-11-06 10:38:21,287 - src.strategies.self_learning_trader - INFO - 🎓 CAKEUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.189303494Z [inf]  2025-11-06 10:38:21,492 - src.strategies.self_learning_trader - INFO - 🎓 1000BONKUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.189306282Z [inf]  2025-11-06 10:38:21,310 - src.strategies.self_learning_trader - INFO - 🎓 MEMEUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.189309753Z [inf]  2025-11-06 10:38:21,512 - src.strategies.self_learning_trader - INFO - 🎓 PYTHUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.189315677Z [inf]  2025-11-06 10:38:21,332 - src.strategies.self_learning_trader - INFO - 🎓 TWTUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.189315735Z [inf]  2025-11-06 10:38:21,533 - src.strategies.self_learning_trader - INFO - ❌ SUPERUSDT 拒絕開倉: 信心度不足: 16.5% < 25.0% | 勝率=45.0% 信心=16.5% R:R=1.50
2025-11-06T10:38:25.189323278Z [inf]  2025-11-06 10:38:21,353 - src.strategies.self_learning_trader - INFO - 🎓 TOKENUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.189327341Z [inf]  2025-11-06 10:38:21,374 - src.strategies.self_learning_trader - INFO - 🎓 ORDIUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.189331434Z [inf]  2025-11-06 10:38:21,395 - src.strategies.self_learning_trader - INFO - 🎓 STEEMUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.189337129Z [inf]  2025-11-06 10:38:21,417 - src.strategies.self_learning_trader - INFO - 🎓 ILVUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
2025-11-06T10:38:25.189342366Z [inf]  2025-11-06 10:38:21,438 - src.strategies.self_learning_trader - INFO - 🎓 NTRNUSDT 豁免期: 已完成 0/50 筆 | 門檻 勝率≥20% 信心≥25% | 槓桿限制: 1-3x
