2025-10-26T08:32:13.759539934Z [inf]  2025-10-26 08:32:13,757 - __main__ - INFO -   #7 HUSDT: 0.3118 USDT (24h交易額: $653,163,910)
2025-10-26T08:32:13.759546166Z [inf]  2025-10-26 08:32:13,757 - __main__ - INFO -   #8 COAIUSDT: 5.7280 USDT (24h交易額: $610,470,085)
2025-10-26T08:32:13.759551950Z [inf]  2025-10-26 08:32:13,757 - __main__ - INFO -   #9 ZECUSDT: 304.0300 USDT (24h交易額: $537,243,514)
2025-10-26T08:32:13.759560614Z [inf]  2025-10-26 08:32:13,757 - __main__ - INFO -   #10 DOGEUSDT: 0.1966 USDT (24h交易額: $515,626,664)
2025-10-26T08:32:13.759568597Z [inf]  2025-10-26 08:32:13,757 - __main__ - INFO - 🔍 使用 32 核心並行分析 200 個高流動性交易對 (已按流動性排序)...
2025-10-26T08:32:13.760562134Z [inf]  2025-10-26 08:32:13,757 - src.services.parallel_analyzer - INFO - 開始批量分析 200 個交易對
2025-10-26T08:32:13.760573780Z [inf]  2025-10-26 08:32:13,757 - src.services.parallel_analyzer - INFO - 批次配置: 64 個/批次, 共 4 批次
2025-10-26T08:32:13.760581360Z [inf]  2025-10-26 08:32:13,757 - src.services.parallel_analyzer - INFO - 處理批次 1/4 (64 個交易對)
2025-10-26T08:32:13.760587838Z [inf]  2025-10-26 08:32:13,758 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.760593751Z [inf]  2025-10-26 08:32:13,758 - src.services.data_service - DEBUG - 緩存命中: ETHUSDT 5m
2025-10-26T08:32:13.760600244Z [inf]  2025-10-26 08:32:13,758 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.760606185Z [inf]  2025-10-26 08:32:13,758 - src.services.data_service - DEBUG - 緩存命中: BTCUSDT 5m
2025-10-26T08:32:13.760611945Z [inf]  2025-10-26 08:32:13,758 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.760617842Z [inf]  2025-10-26 08:32:13,758 - src.services.data_service - DEBUG - 緩存命中: SOLUSDT 5m
2025-10-26T08:32:13.760623544Z [inf]  2025-10-26 08:32:13,758 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.760646812Z [inf]  2025-10-26 08:32:13,758 - src.services.data_service - DEBUG - 緩存命中: GIGGLEUSDT 5m
2025-10-26T08:32:13.760652133Z [inf]  2025-10-26 08:32:13,758 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.760657370Z [inf]  2025-10-26 08:32:13,758 - src.services.data_service - DEBUG - 緩存命中: XRPUSDT 5m
2025-10-26T08:32:13.760662938Z [inf]  2025-10-26 08:32:13,758 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.760667910Z [inf]  2025-10-26 08:32:13,758 - src.services.data_service - DEBUG - 緩存命中: VIRTUALUSDT 5m
2025-10-26T08:32:13.762399405Z [inf]  2025-10-26 08:32:13,758 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:32:13.762409182Z [inf]  2025-10-26 08:32:13,758 - src.services.data_service - DEBUG - 緩存命中: HUSDT 5m
