2025-10-27T10:04:12.966160668Z [inf]  2025-10-27 10:04:12,640 - src.strategies.ict_strategy - DEBUG - NOMUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.974474293Z [inf]  2025-10-27 10:04:12,641 - src.strategies.ict_strategy - DEBUG - SANDUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.990317823Z [inf]  2025-10-27 10:04:12,643 - src.strategies.ict_strategy - DEBUG - XANUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T10:04:13.000672357Z [inf]  2025-10-27 10:04:12,644 - src.strategies.ict_strategy - DEBUG - JTOUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:13.011580276Z [inf]  2025-10-27 10:04:12,646 - src.strategies.ict_strategy - DEBUG - ATHUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:13.034183934Z [inf]  2025-10-27 10:04:12,658 - src.strategies.ict_strategy - DEBUG - ICPUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T10:04:13.042427655Z [inf]  2025-10-27 10:04:12,659 - src.strategies.ict_strategy - DEBUG - EULUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:13.050940447Z [inf]  2025-10-27 10:04:12,671 - src.strategies.ict_strategy - DEBUG - TAUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:13.068825766Z [inf]  2025-10-27 10:04:12,672 - src.strategies.ict_strategy - DEBUG - WUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:13.076023167Z [inf]  2025-10-27 10:04:12,673 - src.strategies.ict_strategy - DEBUG - SUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:13.096926903Z [inf]  2025-10-27 10:04:12,677 - src.strategies.ict_strategy - DEBUG - WALUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T10:04:13.096934206Z [inf]  2025-10-27 10:04:12,690 - src.strategies.ict_strategy - DEBUG - VVVUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:13.109888212Z [inf]  2025-10-27 10:04:12,723 - src.strategies.ict_strategy - DEBUG - TRBUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T10:04:13.112735998Z [inf]  2025-10-27 10:04:12,732 - src.strategies.ict_strategy - DEBUG - OMUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T10:04:13.112745063Z [inf]  2025-10-27 10:04:12,768 - src.strategies.ict_strategy - DEBUG - 2ZUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T10:04:13.114675448Z [inf]  2025-10-27 10:04:12,786 - src.strategies.ict_strategy - DEBUG - CUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T10:04:13.114686256Z [inf]  2025-10-27 10:04:12,789 - src.strategies.ict_strategy - DEBUG - ALGOUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T10:04:13.116520475Z [inf]  2025-10-27 10:04:12,798 - src.strategies.ict_strategy - DEBUG - ORDIUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:13.129953548Z [inf]  2025-10-27 10:04:12,799 - src.strategies.ict_strategy - DEBUG - ✅ MYXUSDT SHORT | 信心度: 66.0% | 趨勢: bearish/bearish/bearish
2025-10-27T10:04:13.131729290Z [inf]  2025-10-27 10:04:12,811 - src.strategies.ict_strategy - DEBUG - MOODENGUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:13.156729016Z [inf]  2025-10-27 10:04:12,814 - src.strategies.ict_strategy - DEBUG - TURBOUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-27T10:04:13.156737581Z [inf]  2025-10-27 10:04:12,816 - src.strategies.ict_strategy - DEBUG - POPCATUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:13.164101549Z [inf]  2025-10-27 10:04:12,835 - src.strategies.ict_strategy - DEBUG - RENDERUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T10:04:13.164110302Z [inf]  2025-10-27 10:04:12,872 - src.strategies.ict_strategy - DEBUG - RUNEUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T10:04:13.165863852Z [inf]  2025-10-27 10:04:12,882 - src.strategies.ict_strategy - DEBUG - ✅ BERAUSDT SHORT | 信心度: 70.0% | 趨勢: bearish/bearish/bearish
2025-10-27T10:04:13.167679175Z [inf]  2025-10-27 10:04:12,886 - src.strategies.ict_strategy - DEBUG - ZEREBROUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
