2025-11-24T05:13:33.464487517Z [err]  2025-11-24 05:12:31,994 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.464502463Z [err]  2025-11-24 05:12:31,994 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.464514360Z [err]  2025-11-24 05:12:31,994 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.464532928Z [err]  2025-11-24 05:12:31,994 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.464542971Z [err]  2025-11-24 05:12:31,994 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.464554493Z [err]  2025-11-24 05:12:31,994 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.788795400Z [err]  2025-11-24 05:12:32,064 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.791379229Z [err]  2025-11-24 05:12:32,064 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.791385557Z [err]  2025-11-24 05:12:32,064 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.793952710Z [err]  2025-11-24 05:12:32,064 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.797546647Z [err]  2025-11-24 05:12:32,065 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.797559669Z [err]  2025-11-24 05:12:32,065 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.799783039Z [err]  2025-11-24 05:12:32,065 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.804327865Z [err]  2025-11-24 05:12:32,066 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.804338125Z [err]  2025-11-24 05:12:32,066 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.808516342Z [err]  2025-11-24 05:12:32,066 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.808524409Z [err]  2025-11-24 05:12:32,066 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.813534024Z [err]  2025-11-24 05:12:32,067 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.813540397Z [err]  2025-11-24 05:12:32,067 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.813546335Z [err]  2025-11-24 05:12:32,067 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.815034772Z [err]  2025-11-24 05:12:42,115 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.817086651Z [err]  2025-11-24 05:12:32,068 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.827263162Z [err]  2025-11-24 05:12:32,068 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.827276790Z [err]  2025-11-24 05:12:32,068 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.827302539Z [err]  2025-11-24 05:12:32,068 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.827310423Z [err]  2025-11-24 05:12:32,068 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
